wind aeras
jump alma
truth alitheia
trump aliths
alergy alergia
horse alogo
sin amartia
payment amoibi
assign anathetw
breeth anapnew
open anoixtos
unstable astathis
put bazw
barytone barytonos
deep bathys
weight baros
violin bioli
industry biomixania
mountain bouno
help bohtheia
dive boutw
milk gala
french gallika
old geros
earth gh
bridge gefyra
sweet glykos
language glwssa
nude gymnos
line grammh
gym gymnasthrio
teacher daskalos
december dekembrios
coward deilos
dolphin delfini
create dimiourgw
passport diavatirio
protest diadilwnw
twin dydymos
lawyer dikigoros
disk diskos
insurance eggyhsh
I egw
you esy
ground edafos
export eisagw
income eisodima
exhibition ekthesh
election eklogh
blast ekrixh
hellenic ellhnas
vaccine emvolio
volume entash
painter zografos
zebra zebra
hot zesth
zombi zombi
ask zitw
animal zwo
zoulou zoulou
day hmera
hercules hraklhs
actor hthopoios
epirus hpeiros
sea thalassa
view thea
goodness thea
want thelw
religion thriskia
seat thesh
god theos
cure therapy
storm thyela
admire thaymazw
moorn thrynos
medic iatrikh
founder idryths
priest iereas
equal isos
tie isopalia
fish ixthys
net istos
india india
sweat idrwnw
inch intsa
virus ios
weather kairos
clean katharizw
new kainourios
goodmorning kalimera
goodnight kalinyxta
basket kalathi
good kalos
call kalw
chair karekla
burn kaiw
hostel katalyma
home katoikia
candle keri
oil ladi
hunger laimargia
rabit lagos
recieve lamvanw
mud lasph
port limani
stone lithos
lake limnh
list lista
word lexi
speech logos
solve lynw
conductor maestros
mom mitera
mantarin mantarini
lesson mathima
hair mali
may maios
method methodos
mentor mentoras
ink melani
small mikro
carry metaferw
talk milw
apple milo
metro metro
salary misthos
wreck navagio
young neos
neuro nevro
newton neytonas
water nero
currency nomisma
cloud nefos
hospital nosokomeio
november noembrios
ill nosw
nomad nomadikos
sudden xafnikos
forein xenos
forget xexnw
itch xynw
spell xorki
oasis oash
drive odigw
dentist odontiatros
talk omilw
team omada
name onoma
olympus olympos
visual optikos
correct ortho
pretty omorfos
shoes papoytsia
foot podi
freeze pagwnw
old palaios
coat palto
play paizw
pantheon pantheo
friday paraskeyh
chapel parekklisi
easter pasxa
thursday pempth
curious periergos
faith pisti
pool pisina
bike podilato
protocol protokolo
radio radiofwno
radioactive radienergos
quote rish
verb rima
clock roloi
roman romaios
rice rizi
adjust rythmizw
saturday savvato
salad salata
saxophone saxofono
earthquake seismos
directos skinothetis
rope skhni
dog skylos
army stratos
school sxoleio
whystle sfyrizw
manner tropos
table trapezi
class taxh
postman taxydromos
postoffice taxydromio
termite termiths
phone tilefwno
art texnh
tiger tigrh
tourism tourismos
scenery topio
singer tragoudisths
health ygeia
hygiene ygieinh
wet ygros
meterial yliko
excssive ypervolikos
surpass yperexw
service yphresia
responsible ypeythynos
sleep ypnos
suppose ypothetw
guess ypothesh
tingle fagoura
lamp fanari
envelope fakelos
ghost fantasma
dustpan farasi
wide fardys
medicine farmako
chemist farmakopoios
carry fernw
leave feygw
fame fimh
autumn fthinopwro
care frontida
relax xalarwnw
mess xali
stupid xazos
short xamilos
pill xapi
engrave xarazw
ruler xarakas
donate xarizw
paper xarti
winter xeimwnas
hand xeri
applaud xeiroktrotw
dance xoros
jump xoropidw
fluff xnoudi
color xrwma
scissors psalidi
search psaxnw
fumble psaxoulevw
lie psema
false pseydhs
roast psito
tall psilos
digit psifio
vote psifizw
soul psyxh
voter psifoforos
purchase pswnizw
bread pswmi
ocean okeanos
time ora
mature orimos
till ospou
is einai
the h
